epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,3588.14,0.28105,0.18958,0.77025,0.98879,0.99759,0.9939,0.95786,0.28532,0.17588,0.82525,0.000173313,0.000173313,0.000173313
148,3612.1,0.28175,0.18856,0.77003,0.98956,0.99715,0.99395,0.95785,0.27915,0.17148,0.8248,0.000170219,0.000170219,0.000170219
149,3635.58,0.28063,0.19163,0.77051,0.98989,0.99757,0.99413,0.95754,0.27785,0.17402,0.82467,0.000167125,0.000167125,0.000167125
150,3659.31,0.27969,0.18921,0.77235,0.99166,0.9955,0.9939,0.95736,0.27996,0.17447,0.82456,0.000164031,0.000164031,0.000164031
151,3683.28,0.27535,0.19041,0.77327,0.99013,0.99273,0.9937,0.95706,0.2786,0.17482,0.82457,0.000160938,0.000160938,0.000160938
152,3707.01,0.28755,0.19229,0.77263,0.98885,0.99624,0.99379,0.95546,0.28005,0.17365,0.82454,0.000157844,0.000157844,0.000157844
153,3730.69,0.27798,0.18996,0.77255,0.99216,0.99325,0.99365,0.95571,0.28005,0.17421,0.82487,0.00015475,0.00015475,0.00015475
154,3754.29,0.27699,0.18995,0.77211,0.99152,0.99447,0.99374,0.95531,0.28027,0.17317,0.82452,0.000151656,0.000151656,0.000151656
155,3777.93,0.27935,0.18911,0.77244,0.99353,0.99245,0.99396,0.95599,0.2777,0.17199,0.82432,0.000148563,0.000148563,0.000148563
156,3801.93,0.27803,0.18971,0.77063,0.99017,0.99708,0.99397,0.95835,0.2766,0.17158,0.82487,0.000145469,0.000145469,0.000145469
157,3825.71,0.27285,0.18808,0.77112,0.98941,0.99779,0.99385,0.95933,0.27354,0.17114,0.82451,0.000142375,0.000142375,0.000142375
158,3849.53,0.27381,0.18621,0.77235,0.99224,0.99467,0.9939,0.95767,0.27743,0.1717,0.82458,0.000139281,0.000139281,0.000139281
159,3873.43,0.26804,0.18466,0.77029,0.99225,0.99507,0.99386,0.95624,0.27658,0.16984,0.82464,0.000136187,0.000136187,0.000136187
160,3897,0.27943,0.18732,0.76968,0.98942,0.9972,0.99375,0.95721,0.2766,0.17043,0.82466,0.000133094,0.000133094,0.000133094
